id,titulo,texto,fuente,fecha,url,economic_score,source_type,department,scope,source_weight,collected_at,score_recalculado,tono_consolidado,confianza_consolidada,modelo_seleccionado,coincidencia_modelos,tono_naive_bayes,confianza_naive_bayes,tono_transformer,confianza_transformer,topic_id,tema,confianza_tema,entidades,indicadores,stress_score,stress_nivel,terminos_riesgo,terminos_alivio,published_at,collected_at_normalized,effective_at,age_hours,date_quality,is_recent,temporal_exclusion_reason,event_id,event_size
fb03b8b60db75790b0a7,Al menos 8 sectores rechazan el decreto del diésel y algunos no descartan movilizaciones,"A una semana del Decreto Supremo 5676 que elimina la subvención del combustible para grandes consumidores, suman los sectores que rechazan la medida y algunos no descartan movilizaciones para que el gobierno abrogue esta norma. Este domingo, campesinos de Warnes, Obispo Santisteban, Sara e Ichilo, las cuatro provincias del norte cruceño, sostuvieron una reunión en la que determinaron darle un plazo al Gobierno para eliminar la norma que entró en vigencia el 16 de agosto. MIRA AQUÍ: Productores de San Juan marchan y dan 24 horas al Gobierno para abrogar la ley del diésel “Exigimos la abrogación inmediata del Decreto Supremo 5676, en un plazo de 48 horas por atentar contra el sector agroproductivo y la economía de Bolivia”, señala el documento suscrito por representantes de las cuatro provincias. Esta misma jornada, productores del municipio de San Juan organizaron una marcha que llegó hasta la localidad de hasta Santa Fe. En este caso, los protagonistas de esta movilización dieron 24 horas de plazo al Gobierno para anular el Decreto Supremo 5676. El 17 de agosto, la Cámara Agropecuaria del Oriente (CAO) calificó como improvisado y discriminador el Decreto Supremo 5676 y cuestionó al Gobierno por señalar que fue socializado. “Si hubiera sido socializado, no tuviera a todo el aparato productivo nacional, señalando que este decreto no es la solución”, señaló Klaus Frerking, presidente de la CAO. Frerking advirtió que los costos de producción van a subir y afectarán a los productos de la canasta familiar. El sector convocó a un congreso para este jueves y pide la abrogación de la norma. “Hay que abrogarlo el Decreto 5676.Tenemos que impulsar los biocombustibles. Tenemos que darle certidumbre al productor. Esto no puede continuar”, indicó Frerking este domingo a tiempo de advertir demora en las labores productivas debido a la falta del combustible. La Confederación Agropecuaria Nacional (Confeagro) que aglutina a representantes de los productores de los nueve departamentos, también expresaron su rechazo al Decreto Supremo 5676. “Hasta hoy las medidas adoptadas como el incremento del precio del diésel, siguen golpeando a nuestro sector y en contrapartida no recibimos nada para mitigar estos efectos que pueden ocasionar que la producción disminuya”, señala un comunicado difundido por Confeagro. A las protestas del sector productivo se suman los de los transportistas. El 18 de agosto, Lucio Gómez, ejecutivo de la Confederación de Choferes de Bolivia, señaló que el sector se declaró en estado de emergencia “Se va a convocar a un ampliado nacional. Las medidas de presión vienen”, señaló Gómez, mientras expresó su rechazo al Decreto Supremo 5676 y también por la falta de combustible en surtidores. Gómez señaló que el diésel es fundamental para el transporte, no solo por el movimiento económico que genera el sector, sino también porque tienen deudas con el sistema financiero y requieren carburantes para trabajar y cumplir en el pago de dudas. Los productores arroceros se sumaron al pedido de abrogación del decreto que elimina la subvención de los grandes consumidores y no se descartan medidas de presión. “ Vamos a pedir la abrogación , no podemos tener unos bolivianos que tengan un beneficio y otros otro beneficio, no es correcto”, señaló David Pérez, productor arrocero en Beni. Pérez señaló que están conscientes del Estado de excepción; sin embargo, acatarán lo que definan las bases. Alcides Córdova, presidente de la Comisión Nacional de Productores Cañeros de Bolivia (Concabol), calificó el DS 5676 como “discriminatorio” y advirtió que el sector atraviesa una “emergencia crítica” por falta de liquidez y el aumento en los costos de producción. MIRA AQUÍ: Campesinos se declaran en emergencia y dan 48 horas al Gobierno para abrogar decreto sobre diésel “Son más de 400 millones de bolivianos que se le debe al sector por el poco retiro del etanol que llevan, no nos han pagado nada, nos tienen sin liquidez, y nos desayunamos con un decreto que atenta contra el sector”, afirmó Córdova. Esta domingo los campesinos del trópico de Cochabamba, afines a Evo Morales, expresaron su rechazo al decreto que elimina la subvención para grandes consumidores, así como el decreto 5652 que congela precios del combustible hasta enero del 2027.",Unitel,,https://unitel.bo/noticias/economia/al-menos-8-sectores-rechazan-el-decreto-del-diesel-y-algunos-no-descartan-movilizaciones-HA23016436,7,television,Santa Cruz,national,0.7,2026-08-24T10:05:52.044758+00:00,8,neutral,1.0,Transformer financiero en español,True,neutral,0.7426,neutral,1.0,4,"Producción, inversión y régimen cambiario",0.8379,[],"[""combustibles"", ""sistema financiero""]",94,crítico,"{""presión"": 2, ""emergencia"": 3, ""falta"": 3, ""demora"": 1}",{},,2026-08-24T10:05:52Z,2026-08-24T10:05:52Z,0.04,inferred_collected,True,recent,evt-89455b15261c,1
3173ee8d366f707f3650,Campesinos se declaran en emergencia y dan 48 horas al Gobierno para abrogar decreto sobre diésel,"Campesinos de las cuatro provincias del Norte de Santa Cruz exigen al Gobierno la abrogación inmediata del Decreto 5676, sobre el diésel para grandes consumidores, y le dan un plazo d e 48 horas para cumplir con esta demanda. En un ampliado de emergencia, centrales, subcentrales, sindicatos agrarios y asociaciones productivas determinaron que, si el Gobierno incumple, se declararán en estado de emergencia. MIRA AQUÍ: Línea aérea tramita licencias para operar, en especial en Potosí, dice ministro Zamora El alcalde municipal de San Pedro, David Martishev, señaló que el pedido es “una necesidad” de todos los grandes, medianos y pequeños productores. El Gobierno nacional emitió el Decreto Supremo 5676 a inicios de esta semana que fija en Bs 18 el litro de diésel para grandes consumidores, con el objetivo de regularizar la provisión de combustible y eliminar las filas en los surtidores. Desde la Oficina de la Presidencia se aclaró que el precio para transportistas, familias, particulares y pequeños negocios se mantiene en Bs 9,80. MIRA AQUÍ: A Espinoza hay que juzgarlo “por sus resultados”, dice analista Ríos, que observa el alza de la cotización de las USDT",Unitel,,https://unitel.bo/noticias/economia/campesinos-se-declaran-en-emergencia-y-dan-48-horas-al-gobierno-para-abrogar-decreto-sobre-diesel-OB23008215,2,television,Santa Cruz,national,0.7,2026-08-24T10:05:52.471671+00:00,2,neutral,1.0,Transformer financiero en español,True,neutral,0.8229,neutral,1.0,4,"Producción, inversión y régimen cambiario",0.9162,[],"[""combustibles""]",71,alto,"{""emergencia"": 3}",{},,2026-08-24T10:05:52Z,2026-08-24T10:05:52Z,0.04,inferred_collected,True,recent,evt-08757f03334b,1
9314325da9027aea3ad7,Productores de San Juan marchan y dan 24 horas al Gobierno para abrogar el decreto del diésel,"Los productores del municipio de San Juan, Santa Cruz, marcharon este domingo para exigir al Gobierno que, en un plazo de 24 horas, abrogue el Decreto Supremo 5676 , que establece un nuevo régimen de comercialización del diésel y diferencia el precio final de venta del combustible para los grandes consumidores (Gracos). El sector no descarta radicalizar las medidas de presión y señalan que la norma solo les afecta a ellos e indican que aún no hay diésel para los productores. Pese a la vigencia del Estado de excepción, la marcha terminó con un bloqueo momentáneo en la carretera. La protesta se une a otros sectores productores en contra de la norma que modificó el precio del combustible. Sin embargo, aún se observan filas en los surtidores y los dirigentes del agro señalan que no hay diésel para las labores en los cultivos, lo que demora la producción. Hace casi una semana, el Gobierno de Rodrigo Paz aprobó el Decreto Supremo 5676 para establecer un nuevo “precio referencial” del diésel para los grandes consumidores . El nuevo plan establece una escala que se aproxima al precio internacional del carburante. En su momento, el ministro de Hidrocarburos, Marcelo Blanco, informó que esta norma determina un precio referencial de Bs 18 el litro de diésel de manera inicial para este sector, mientras que transportistas, particulares y pequeños productores seguirán pagando Bs 9,80 . MIRE AQUÍ: “Situación dramática”: agropecuarios alertan demora en labores por falta de diésel y confirman congreso",Unitel,,https://unitel.bo/noticias/economia/productores-de-san-juan-marchan-y-dan-24-horas-al-gobierno-para-abrogar-el-decreto-del-diesel-LA23015394,3,television,Santa Cruz,national,0.7,2026-08-24T10:05:52.150780+00:00,3,neutral,1.0,Transformer financiero en español,True,neutral,0.566,neutral,1.0,4,"Producción, inversión y régimen cambiario",0.7788,[],"[""combustibles"", ""hidrocarburos""]",70,alto,"{""bloqueo"": 1, ""presión"": 1, ""falta"": 1, ""demora"": 2}",{},,2026-08-24T10:05:52Z,2026-08-24T10:05:52Z,0.04,inferred_collected,True,recent,evt-4ce494cd8f5e,1
ad190822937966c471d6,"“Están suspendidas las medidas, las mesas de diálogo están instaladas”, dicen cisterneros tras reunión con YPFB y el Gobierno","Cerca de las 14:00 de este sábado, finalizó la reunión entre el sector de los cisterneros con autoridades de YPFB y el Ministerio de Hidrocarburos. Determinaron instalarán mesas de diálogo desde este domingo hasta el jueves, indicó el dirigente de la Federación de Empresarios Cisterneros, Sergio Kosky. “Nosotros hemos acordado con el ministro y los ejecutivos de YPFB empezar a trabajar el día de mañana (domingo) en mesas de trabajo , las cuales deben concluir el día jueves”, indicó el dirigente. Este sábado por la mañana se instaló el diálogo entre las autoridades y el sector de los cisterneros para evitar el paro anunciado para el lunes. Kosky señaló que ” están suspendidas las medidas . Van a ir trabajando, sin lo que se considera una presión , las mesas de diálogo y de trabajo están instaladas ”. El dirigente indicó que el jueves a las 22:00 concluirán las mesas de trabajo que trabajarán en comisiones y se anunciarán determinaciones. MIRE AQUÍ: El dólar en Bolivia presenta una baja luego de tres jornadas de cotización estable El dirigente señaló que en la reunión se tocaron “dos puntos estructurales, los cuales han sido escuchados, han sido atendidos”. “El primero prácticamente está zanjado con una programación de pagos atrasados y el otro tema debe ser dado en mesas de trabajo y teniendo como día tope para concluir el día jueves”, indicó. El sector reclamaba pagos adeudados y advirtieron con un paro para el lunes si las autoridades no atendían las demandas. MIRE AQUÍ: Arroceros se suman al pedido de abrogación del decreto del diésel y anuncian medidas de presión",Unitel,,https://unitel.bo/noticias/economia/estan-suspendidas-las-medidas-las-mesas-de-dialogo-estan-instaladas-dicen-cisterneros-tras-reunion-con-ypfb-y-el-gobierno-OA22999654,3,television,Santa Cruz,national,0.7,2026-08-24T10:05:52.685911+00:00,4,neutral,1.0,Transformer financiero en español,True,neutral,0.8227,neutral,1.0,5,"Comercio exterior, desarrollo y empresas",0.494,"[""YPFB""]","[""tipo de cambio"", ""combustibles"", ""hidrocarburos""]",58,moderado,"{""presión"": 2}",{},,2026-08-24T10:05:52Z,2026-08-24T10:05:52Z,0.04,inferred_collected,True,recent,evt-d9f16603bcbd,1
d861785b8dae9ee0f759,"Viajes desde Cochabamba se reducen en 50%: Hay pasajeros, pero los buses están en las filas por diésel","La falta de diésel perjudica a empresas de transporte de pasajeros y a las personas que necesitan realizar viajes, así lo hicieron conocer este domingo desde la Terminal de Buses de Cochabamba. “Lo que es antes, salían buses más harto, ahora salen la mitad de eso”, explicó una mujer encargada de la venta de pasajes. MIRA AQUÍ: Cisterneros y YPFB se reúnen para evitar paro anunciado para este lunes Ella cuenta que los conductores de los buses deben pasar hasta dos noches esperando por combustible. Aunque también hay ocasiones en las que se puede conseguir “de otro lado”, aunque a un precio mayor que en los surtidores. Todo esto ha provocado que los buses eleven sus tarifas. Pasajes que antes se conseguían por 160 bolivianos para viajar de Cochabamba a Santa Cruz ahora están a Bs 180. Para viajar a La Paz el precio era de Bs 100 ahora está en Bs 130. “No hay muchos buses, hay harta demanda de pasajeros y también el diésel de otro lado a veces los dueños consiguen y por eso es”, explicó la vendedora de pasajes. MIRA AQUÍ: Arroceros se suman al pedido de abrogación del decreto del diésel y anuncian medidas de presión La noticia positiva es que desde la terminal informaron que no se registra inconvenientes en las carreteras que conectan a Cochabamba con el oriente ni el occidente del país.",Unitel,,https://unitel.bo/noticias/economia/viajes-desde-cochabamba-se-reducen-en-50-hay-pasajeros-pero-los-buses-estan-en-las-filas-por-diesel-AA23013636,3,television,Santa Cruz,national,0.7,2026-08-24T10:05:52.364922+00:00,3,desfavorable,0.9996,Transformer financiero en español,False,neutral,0.7298,desfavorable,0.9996,0,"Sector productivo, automotor y actividad empresarial",0.7262,"[""YPFB""]","[""combustibles""]",58,moderado,"{""presión"": 1, ""falta"": 1}",{},,2026-08-24T10:05:52Z,2026-08-24T10:05:52Z,0.04,inferred_collected,True,recent,evt-9c45f27dd15f,1
070ebb80468cb50bba44,Cívicos acusan a YPFB y a la ANH por falta de medio millón de litros de diésel en Santa Cruz,"El Comité pro Santa Cruz apuntó a Yacimientos Petrolíferos Fiscales Bolivianos (YPFB) y a la Agencia Nacional de Hidrocarburos (ANH) por un faltante el jueves de medio millón de litros de diésel solo en Santa Cruz. Piden eliminar a la entidad encargada que controlar y fiscalizar la cadena de los hidrocarburos. MIRA AQUÍ: Paz destituyó a Espinoza hasta que una sala de El Alto se pronuncie sobre el amparo contra la censura del Legislativo “Ayer se ha descubierto que hay un faltante solo en diésel de cerca de medio millón de litros para Santa Cruz”, manifestó Zambrana. El vicepresidente cívico explicó que en el acuerdo del 17 de agosto se acordó “decir la verdad” de manera que YPFB iba a reportar la cantidad de combustible que estaba siendo distribuido a los diferentes departamentos. De acuerdo a ese reporte, el jueves YPFB se envió a Santa Cruz 423.000 litros menos de lo que demandaba el departamento cruceño. MIRA AQUÍ: Confeagro urge abrogar el decreto del diésel y pide “liberar” la importación y comercialización de carburantes Además, Zambrana cuestionó el trabajo que desarrolla la ANH e incluso dejó entrever “complicidad”, de la entidad encargada de fiscalizar y controlar la cadena productiva de los hidrocarburos. “La ANH se tiene que cerrar. No sirve, no funciona y, por ello, estamos planteando que se elimine esta”, dijo Zambrana.",Unitel,,https://unitel.bo/noticias/economia/civicos-acusan-a-ypfb-y-a-la-anh-por-falta-de-medio-millon-de-litros-de-diesel-en-santa-cruz-EA22991894,4,television,Santa Cruz,national,0.7,2026-08-24T10:05:52.900274+00:00,4,desfavorable,0.8533,Transformer financiero en español,False,neutral,0.7245,desfavorable,0.8533,0,"Sector productivo, automotor y actividad empresarial",0.7525,"[""YPFB""]","[""combustibles"", ""importaciones"", ""hidrocarburos""]",54,moderado,"{""falta"": 1}",{},,2026-08-24T10:05:52Z,2026-08-24T10:05:52Z,0.04,inferred_collected,True,recent,evt-2d38cd467d5f,1
d5e1c7ea08a3fbf9593f,INE abre postulaciones para contratar personal para el Censo Agropecuario,"El Instituto Nacional de Estadística (INE) abre este domingo 23 de agosto la segunda convocatoria para incorporar al personal que participará en el Censo Agropecuario 2026, un operativo que recorrerá comunidades y unidades de producción agropecuaria de los nueve departamentos del país. La convocatoria arrancó el 16 de agosto para empadronadores y jefes de brigada en Beni y Santa Cruz . Este domingo 23 de agosto se abrieron las postulaciones para Oruro, Chuquisaca, Tarija y Pando . El registro está disponible en la dirección: censoagro.ine.gob.bo En esa página se encuentran los requisitos, fechas y condiciones para participar. MIRA AQUÍ: Viajes desde Cochabamba se reducen en 50%: Hay pasajeros, pero los buses están en las filas por diésel El 6 de septiembre se abrirá la convocatoria para postulantes de La Paz, Cochabamba y Potosí. De esta manera se llegará a los nueve departamentos de Bolivia. La incorporación de personal permitirá conformar las brigadas que tendrán la misión de desplazarse hasta las zonas productivas y recoger información directamente de los productores. EMPADRONADORES Y JEFES DE BRIGADA Los empadronadores serán quienes tengan el contacto directo con los productores durante el levantamiento de información. Su trabajo consistirá en recopilar datos sobre las actividades que se desarrollan en las Unidades de Producción Agropecuaria, entre ellas agricultura, ganadería, avicultura, pesca, acuicultura, silvicultura y otras actividades productivas. Los jefes de brigada, por su parte, tendrán la responsabilidad de organizar y supervisar el trabajo de los equipos en territorio, acompañando el desarrollo del operativo y verificando el cumplimiento de las actividades previstas. Detrás de cada formulario y de cada visita habrá un objetivo común: conocer cómo está produciendo Bolivia. El Censo Agropecuario abarcará los nueve departamentos del país. Su ejecución fue declarada prioridad nacional mediante el Decreto Supremo Nº 5658, por la importancia de contar con información actualizada sobre la realidad productiva nacional. MIRA AQUÍ: “Están suspendidas las medidas, las mesas de diálogo están instaladas”, dicen cisterneros tras reunión con YPFB y el Gobierno Los resultados permitirán contar con una fotografía actualizada del sector agropecuario: qué se produce, dónde se produce, cómo se produce y cuáles son las características de las Unidades de Producción Agropecuaria. Esta información será un insumo para la planificación y el diseño de políticas públicas orientadas al desarrollo del sector productivo.",Unitel,,https://unitel.bo/noticias/economia/ine-abre-postulaciones-para-contratar-personal-para-el-censo-agropecuario-OA23014138,3,television,Santa Cruz,national,0.7,2026-08-24T10:05:52.258547+00:00,4,neutral,1.0,Transformer financiero en español,True,neutral,0.8907,neutral,1.0,3,"Precios, alimentos y servicios básicos",0.6739,"[""INE"", ""YPFB""]","[""combustibles""]",50,moderado,{},{},,2026-08-24T10:05:52Z,2026-08-24T10:05:52Z,0.04,inferred_collected,True,recent,evt-5c2a389b92d6,1
a17153e0c72e334e8acc,Cisterneros y YPFB se reúnen para evitar paro anunciado para este lunes,"El dirigente de la Federación de Empresarios Cisterneros, Sergio Kosky, llegó a las instalaciones de Yacimientos Petrolíferos Fiscales Bolivianos (YPFB) junto con otros dirigentes para dialogar sobre los sueldos adeudados desde hace varios meses y frenar el paro nacional de este sector anunciado para el lunes. La reunión, convocada por las autoridades, se lleva a cabo en la casa ejecutiva de YPFB, donde llegaron dirigentes de los c isteneros, de la Cámara del Transporte Pesado de Santa Cruz y La Paz. MIRA AQUÍ: El dólar en Bolivia presenta una baja luego de tres jornadas de cotización estable Según explicó Kosky, YPFB adeuda sueldos desde el mes de marzo a este sector, e incluso sostuvo que si cumplen con los pagos del mes de abril, suspenderán la medida. El sector señaló que, de lo contrario, ratificará el paro nacional de actividades para este lunes. Este jueves, en una reunión del sector, los cisterneros determinaron acatar una paro de actividades a nivel nacional; sin embargo, no descartaron instalar una mesa de diálogo con las autoridades. “Resuelve hacer un paro de actividades del transporte internacional, nacional, a partir del día lunes. (El) motivo son reiteradas solicitudes a la estatal petrolera de cumplimiento de pagos, revisión de licitación, nivelación de precios, mesas de trabajo, tristemente respuestas dilatorias, sin poder concretar nada”, manifestó el dirigente este jueves. MIRA AQUÍ: Paz destituyó a Espinoza hasta que una sala de El Alto se pronuncie sobre el amparo contra la censura del Legislativo",Unitel,,https://unitel.bo/noticias/economia/cisterneros-y-ypfb-se-reunen-para-evitar-paro-anunciado-para-este-lunes-GA22997540,4,television,Santa Cruz,national,0.7,2026-08-24T10:05:52.790775+00:00,3,neutral,0.9999,Transformer financiero en español,True,neutral,0.7546,neutral,0.9999,5,"Comercio exterior, desarrollo y empresas",0.5502,"[""YPFB""]","[""tipo de cambio""]",50,moderado,{},{},,2026-08-24T10:05:52Z,2026-08-24T10:05:52Z,0.04,inferred_collected,True,recent,evt-973b91ac77ce,1
41bc01e846a49ccd116e,"Línea aérea tramita licencias para operar, en especial en Potosí, dice ministro Zamora","Una empresa gestiona sus licencias de funcionamiento para operar en el mercado boliviano aéreo en especial en Potosí y el país, informó el ministro de Obras Públicas, Mauricio Zamora. La autoridad precisó que se trata de Go Airline, que ya tiene en la ciudad de El Alto la primera de sus cuatro aeronaves, que tiene capacidad para 90 pasajeros. Zamora explicó que los trámites están en su última fase y que se espera que en corto tiempo empiecen las operaciones. MIRA AQUÍ: Cisterneros y YPFB se reúnen para evitar paro anunciado para este lunes De acuerdo a información de la empresa, difundida por el Ministerio de Obras Públicas, la oficina central estará en La Paz, pero las operaciones se enfocarán en el departamento potosino , que actualmente no cuenta con vuelos directos hasta esa región. El gerente de Go Airline, Rodber Orellana explicó que apuntan a tener un hangar en el Aeropuerto de Potosí para mantenimiento y resguardo de los aviones; con ello se beneficiaría a los sectores del turismo y minero. Además dijo que avanzan con los trámites en la Dirección General de Aeronáutica Civil (DGAC) y esperan operar a la brevedad. MIRA AQUÍ: Paz destituyó a Espinoza hasta que una sala de El Alto se pronuncie sobre el amparo contra la censura del Legislativo",Unitel,,https://unitel.bo/noticias/economia/linea-aerea-tramita-licencias-para-operar-en-especial-en-potosi-dice-ministro-zamora-GB23001016,2,television,Santa Cruz,national,0.7,2026-08-24T10:05:52.578115+00:00,2,neutral,1.0,Transformer financiero en español,True,neutral,0.8887,neutral,1.0,4,"Producción, inversión y régimen cambiario",0.6901,"[""YPFB""]",[],50,moderado,{},{},,2026-08-24T10:05:52Z,2026-08-24T10:05:52Z,0.04,inferred_collected,True,recent,evt-d7222d953fd8,1
d5ad3a9fa032cebe5e4a,ASFI ACTUALIZA TARIFAS PARA TRANSACCIONES Y GIROS AL EXTERIOR | ASFI,"La Autoridad de Supervisión del Sistema Financiero (ASFI) aprobó la modificación al Reglamento de Tasas de Interés, Comisiones y Tarifas. Esta medida fortalece el control y la vigilancia sobre los cobros que las Entidades de Intermediación Financiera (EIF) aplican a los consumidores financieros. La actualización, aprobada mediante la Resolución ASFI/299/2026, responde a la necesidad de adecuar el sistema financiero a los lineamientos del Banco Central de Bolivia. En este sentido, se establece que, para evitar que los consumidores de servicios financieros enfrenten cobros arbitrarios, todas las transacciones con tarjetas en el exterior deben aplicar exclusivamente el valor referencial de venta del dólar estadounidense, publicado a diario por el ente emisor. En cuanto a los servicios de transferencias y giros al exterior, ASFI determinó bandas tarifarias específicas para promover la transparencia. Para los giros de hasta 1.000 dólares, el usuario solo debe pagar el costo del corresponsal internacional y para montos mayores se aplica una comisión que oscila entre el 5% y el 10%. Las transferencias en otras monedas extranjeras mayores a 1.000 dólares pueden tener una comisión de hasta 20%. En el caso de servicios de salud y educación, las transferencias en efectivo tienen una comisión fija del 3%. Pese a estos ajustes en servicios especializados, ASFI reafirmó la gratuidad de los servicios financieros básicos para proteger el ahorro de la población boliviana. La emisión inicial y renovación de tarjetas de débito, la provisión de tokens digitales, el bloqueo de tarjetas y la obtención de extractos de cuenta digitales se mantienen con costo cero para todos los usuarios. Todas las EIF fueron comunicadas oportunamente por la Autoridad Supervisora para el cumplimiento inmediato de estas disposiciones, las cuales son de acceso público en la Gaceta Electrónica de Regulación Financiera. El incumplimiento de los límites establecidos o la falta de transparencia en la información brindada al cliente será objeto de las sanciones previstas por la Ley N° 393 de Servicios Financieros.",ASFI,,https://www.asfi.gob.bo/node/1365,5,official,La Paz,national,0.95,2026-08-24T10:04:24.206437+00:00,4,favorable,0.9993,Transformer financiero en español,False,neutral,0.9769,favorable,0.9993,3,"Precios, alimentos y servicios básicos",0.5577,"[""BCB"", ""ASFI""]","[""tipo de cambio"", ""sistema financiero""]",60,alto,"{""bloqueo"": 1, ""falta"": 1}",{},,2026-08-24T10:04:24Z,2026-08-24T10:04:24Z,0.07,inferred_collected,True,recent,evt-8f8580dce00c,1
417b16359a357d2136ae,REESTABLECEN LAS COMPRAS POR INTERNET Y PAGOS EN EL EXTERIOR CON TARJETAS DE DÉBITO Y CRÉDITO | ASFI,"Las familias bolivianas ya pueden utilizar sus tarjetas de débito y crédito para realizar compras online y pagar servicios fuera del país. Esta medida, impulsada por el Gobierno nacional, garantiza que más de 2,7 millones de usuarios recuperen la libertad de mover sus recursos de forma global. La Autoridad de Supervisión del Sistema Financiero ( ASFI) emitió las normativas necesarias (Circular 938/2026, Resolución 280/2026 y Carta Circular 864/2026) para que los bancos cumplan con este derecho de forma inmediata y aquí te explicamos cómo se benefician todos los consumidores de servicios financieros del país. 1. ¿Qué cambió en el uso de mi tarjeta de débito o crédito? Con la eliminación de las restricciones que limitaban el uso de tarjetas de crédito y débito, ahora puedes volver a: Pagar servicios en el exterior a través de POS. Retirar efectivo en cajeros automáticos del exterior. 2. ¿Tengo un límite de dinero para gastar con mi tarjeta de débito? Sí, se establecieron reglas claras para asegurar que todos tengan acceso a tus fondos: Monto mínimo: La medida establece que los bancos deben permitirte gastar al menos 500 dólares al mes. Montos mayores: Cada banco puede ampliar el límite a más de 500 dólares según sus propias políticas y la disponibilidad de divisas con las que cuente. Flexibilidad: Puedes usar ese dinero en una sola compra o en varias pequeñas, por ejemplo, de uno, diez o cien dólares, hasta alcanzar el monto establecido. 3. ¿Qué pasa con las tarjetas de crédito? Las tarjetas de crédito podrán usarse sin restricciones, dependiendo de la línea de crédito aprobada y de tu capacidad de pago. 4. ¿Debo pagar comisiones adicionales por usar mi tarjeta en el extranjero o para compras por internet? En ningún caso, porque la disposición elimina el cobro de comisiones. Es decir, si un servicio o producto cuesta 200 dólares, el banco debe cobrarte únicamente esos 200 dólares. El objetivo de esta medida es que recuperes la normalidad en tus operaciones financieras con el uso de tarjetas de crédito y débito, sin cargos extra que no fueron originalmente pactados. 5. ¿A qué tipo de cambio se cobrarán mis compras en dólares? Para darte seguridad y evitar cobros excesivos, todas las operaciones se realizarán con el valor referencial del dólar estadounidense que es actualizado y publicado diariamente por el Banco Central de Bolivia (BCB). Esto garantiza que las reglas sean transparentes y no dependan de mercados informales. Es decir, si adquieres un producto en dólares, se te cobrará el monto convertido a bolivianos usando el valor referencial del dólar, sin recargos adicionales. 6. ¿Qué beneficios directos tiene esto para mi día a día? Ahora no pagarás comisiones adicionales por compras en el exterior, tendrás mayor libertad de pago para compras por internet y dejarás de recurrir a plataformas que no son reguladas en el país para realizar transacciones que antes estaban limitadas, como: Servicios digitales: Pagar tus suscripciones de Netflix, Spotify, Disney+ o herramientas de trabajo, entre otros. Compras por Internet: Adquirir productos en plataformas internacionales como Amazon, AliExpress u otros. Viajes y Salud: Pagar hoteles, pasajes o servicios médicos en el exterior del país. Educación: Cancelar cursos o formación en línea de instituciones extranjeras. 7. ¿Esta medida es permanente o temporal? La disposición busca restablecer el uso normal de las tarjetas de débito y crédito para transacciones en el exterior. Cualquier cambio futuro será informado oportunamente por las autoridades. 8. ¿Qué hago si mi banco no cumple o me cobra de más? Si el banco no te permite usar por lo menos 500 dólares mensuales a través de tu tarjeta de débito, te bloquea la tarjeta sin justificativo o no respeta el valor referencial del dólar publicado por el BCB, el primer paso es acudir al Punto de Reclamo de la misma entidad financiera. Si la respuesta del banco no resuelve el problema, puedes registrar el reclamo de segunda instancia en ASFI, en cualquiera de las oficinas a nivel nacional, a través de la página web o en la línea gratuita 800 103 103. 9. ¿Es necesario pagar por reclamar? No, todos los procesos de reclamo son totalmente gratuitos y es tu derecho exigir que se cumpla la normativa vigente.",ASFI,,https://www.asfi.gob.bo/node/1362,11,official,La Paz,national,0.95,2026-08-24T10:04:24.606045+00:00,8,favorable,0.9992,Transformer financiero en español,False,neutral,0.9782,favorable,0.9992,2,"Política fiscal, gestión pública y sistema financiero",0.3795,"[""BCB"", ""ASFI""]","[""tipo de cambio"", ""sistema financiero""]",50,moderado,{},{},,2026-08-24T10:04:24Z,2026-08-24T10:04:24Z,0.07,inferred_collected,True,recent,evt-78e3aeeb4292,1
